"Data","GJGB10 Index"
2018-08-03,4.36268984717903e-06
2018-08-06,4.36268984718251e-06
2018-08-07,4.60051740709361e-06
2018-08-08,4.48160540165097e-06
2018-08-09,4.56088046632483e-06
2018-08-10,4.00592188562184e-06
2018-08-13,4.00592188545594e-06
2018-08-14,4.44196727779171e-06
2018-08-16,8.05150243961761e-06
2018-08-17,3.88699213159409e-06
2018-08-20,4.12484808925891e-06
2018-08-21,3.41123761136943e-06
2018-08-22,3.92663577736975e-06
2018-08-23,3.96627902894006e-06
2018-08-24,4.00592188539041e-06
2018-08-27,3.84734809142779e-06
2018-08-28,3.88699213172912e-06
2018-08-29,4.08520641588172e-06
2018-08-30,4.40232875970218e-06
2018-08-31,4.24377074308125e-06
2018-09-03,4.6797901057514e-06
2018-09-04,4.87796495157994e-06
2018-09-05,4.56088046652628e-06
2018-09-06,4.40232875972402e-06
2018-09-07,4.48160540167724e-06
2018-09-10,4.67979010557483e-06
2018-09-11,4.56088046643574e-06
2018-09-12,4.48160540181766e-06
2018-09-13,4.44196727777687e-06
2018-09-14,4.67979010551034e-06
2018-09-17,4.67979010577971e-06
2018-09-18,4.64015395347578e-06
2018-09-19,4.91759873803549e-06
2018-09-20,4.87796495173639e-06
2018-09-21,5.27428507333518e-06
2018-09-27,2.03046510117188e-05
2018-09-28,5.15539317629759e-06
2018-10-01,5.3931734226652e-06
2018-10-02,5.15539317637441e-06
2018-10-04,1.1895880960647e-05
2018-10-05,6.1460505925622e-06
2018-10-08,6.14605059278673e-06
2018-10-10,1.25694829769932e-05
2018-10-11,5.78944229933679e-06
2018-10-12,5.94793881484711e-06
2018-10-15,5.71019167703656e-06
2018-10-16,5.86869134532109e-06
2018-10-17,5.86869134533906e-06
2018-10-18,6.02718470826736e-06
2018-10-19,5.90831527690494e-06
2018-10-22,6.1064290251772e-06
2018-10-23,6.02718470821028e-06
2018-10-24,5.35354436716931e-06
2018-10-25,4.64015395344696e-06
2018-10-26,4.4816054017721e-06
2018-10-29,4.36268984717736e-06
2018-10-30,4.83833077104206e-06
2018-10-31,5.03649773134979e-06
2018-11-01,4.87796495179062e-06
2018-11-02,5.11576175555409e-06
2018-11-05,5.07612994052512e-06
2018-11-06,5.19502420309545e-06
2018-11-07,4.87796495177118e-06
2018-11-08,4.83833077114639e-06
2018-11-09,4.87796495159604e-06
2018-11-12,4.71942586358744e-06
2018-11-13,4.52124313113045e-06
2018-11-14,4.40232875977836e-06
2018-11-15,4.32305053999928e-06
2018-11-16,4.12484808916789e-06
2018-11-19,3.84734809132313e-06
2018-11-20,4.04556434782055e-06
2018-11-21,3.76805882752398e-06
2018-11-22,3.96627902877603e-06
2018-11-23,3.96627902890427e-06
2018-11-26,3.5698287638673e-06
2018-11-27,3.64912197304768e-06
2018-11-28,3.96627902878642e-06
